title,name_genres,popularity
Pie in the Sky,Comedy Romance,0.699066
Angela,Comedy Drama,2.197439
Frankie Starlight,Drama Romance War,0.637554
Jade,Action Thriller Mystery Romance,11.418917
Nueba Yol,Comedy Drama Romance,0.291021
Sonic Outlaws,Music Documentary,0.001838
Down Periscope,Comedy,5.184977
From the Journals of Jean Seberg,Documentary,0.276401
Man of the Year,Comedy,0.540436
The Neon Bible,Drama,0.370342
Target,,0.001205
Up Close & Personal,Drama Romance,3.402749
The Birdcage,Comedy,6.49968
Virgin Mary,Drama,0.918504
The Brothers McMullen,Comedy Drama Romance,2.039196
Bad Boys,Action Comedy Crime Thriller,9.262184
The Amazing Panda Adventure,Action Adventure Drama Family,2.375865
The Basketball Diaries,Drama Crime,7.415144
An Awfully Big Adventure,Romance Drama Comedy,0.922958
Amateur,Crime Comedy Drama Thriller,1.759012
Apollo 13,Drama,18.761467
Rob Roy,Adventure,10.193549
The Addiction,Drama Horror,3.137285
Batman Forever,Action Crime Fantasy,13.321354
Belle de Jour,Drama Romance,10.142662
Beyond Rangoon,Drama Thriller,2.04189
Blue in the Face,Comedy,11.528147
Canadian Bacon,Action Comedy,5.391556
Casper,Fantasy Comedy Family,12.812539
Clockers,Mystery Crime Drama,4.558992
Congo,Action Adventure Drama Mystery Science Fiction Thriller,7.260574
Crimson Tide,Action Thriller Drama,8.657365
Crumb,Documentary,3.620388
Desperado,Thriller Action Crime,6.950458
Devil in a Blue Dress,Drama Mystery Thriller,4.646132
Die Hard: With a Vengeance,Action Thriller,15.138855
The Doom Generation,Action Comedy Crime Drama,7.120806
Feast of July,Drama Crime,0.523575
First Knight,Action Adventure Drama Romance,15.178338
Free Willy 2 - The Adventure Home,Adventure,7.575098
Hackers,Action Crime Thriller Drama,14.810519
Jeffrey,Comedy Drama Romance,3.196456
Johnny Mnemonic,Adventure Action Drama Science Fiction Thriller,11.715868
Judge Dredd,Science Fiction,8.184815
Jury Duty,Comedy Drama,3.676921
Kids,Drama Crime,4.877872
Living in Oblivion,Drama Comedy,10.058329
Lord of Illusions,Mystery Horror Thriller,4.102409
Love & Human Remains,Comedy Drama,0.354014
Mad Love,Drama Family Romance,2.624771
Mallrats,Romance Comedy,8.25547
Mighty Morphin Power Rangers: The Movie,Action Adventure Science Fiction Family Fantasy,7.024227
Moonlight and Valentino,Comedy Drama Romance,1.01115
Mute Witness,Thriller Foreign,2.466066
Nadja,Horror Thriller,7.720056
The Net,Crime Drama Mystery Thriller Action,13.304342
Nine Months,Comedy,8.482834
Party Girl,Comedy,1.165039
The Prophecy,Fantasy Horror Thriller,10.187623
Reckless,Fantasy Comedy Drama,0.119713
Safe,Drama,8.180047
The Scarlet Letter,Drama History Romance,6.752119
The Show,Documentary,0.159596
Showgirls,Drama,17.502375
Smoke,Comedy Drama,5.552946
Something to Talk About,Comedy,3.743212
Species,Science Fiction Horror Action,13.492845
The Stars Fell on Henrietta,Drama,0.913522
Strange Days,Crime Drama Science Fiction Thriller,11.223055
The Umbrellas of Cherbourg,Drama Romance,8.133881
The Tie That Binds,Thriller,1.820419
Three Wishes,Drama Fantasy,11.002046
Total Eclipse,Drama Romance,4.546552
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,7.653446
Under Siege 2: Dark Territory,Action Thriller,7.490247
Unstrung Heroes,Comedy Drama Family,2.881689
Unzipped,Documentary,0.786023
A Walk in the Clouds,Drama Romance,9.715639
Waterworld,Adventure Action,16.885184
White Man's Burden,Drama,1.834099
Wild Bill,Action Western,8.922139
The Browning Version,Drama,3.727644
Bushwhacked,Adventure Action Comedy Crime Family,3.287036
Burnt by the Sun,Drama,2.486073
Before the Rain,Drama War,3.525649
Before Sunrise,Drama Romance,11.304979
Billy Madison,Comedy,6.638116
The Babysitter,Drama Thriller,2.761837
Boys on the Side,Comedy Drama,3.030309
The Cure,Drama Family,2.686342
Castle Freak,Thriller Drama Horror Mystery,2.26977
Circle of Friends,Drama Family Romance,2.605521
Clerks,Comedy,10.513367
Don Juan DeMarco,Romance Drama Comedy,7.438934
Disclosure,Drama Thriller Crime Mystery Romance,11.812244
Dream Man,Thriller,0.155859
Drop Zone,Action Adventure Thriller,9.579155
Destiny Turns on the Radio,Crime Comedy Fantasy,0.710671
Death and the Maiden,Drama Thriller Mystery,5.484156
Dolores Claiborne,Crime Drama Mystery,5.8025
Dumb and Dumber,Comedy,9.844558
Eat Drink Man Woman,Comedy Drama Romance,4.860016
Exotica,Drama Mystery,5.378467
Exit to Eden,Thriller Comedy Crime Romance,4.322726
Ed Wood,Comedy Drama History,11.720358
French Kiss,Comedy Romance,9.146544
Forget Paris,Comedy Drama Romance,16.236745
Far from Home: The Adventures of Yellow Dog,Action Adventure Drama Family,2.657337
A Goofy Movie,Romance Animation Family Comedy Adventure,10.177977
Hideaway,Drama Thriller,8.182165
Fluke,Drama Family Fantasy,4.953936
Farinelli,History Drama,8.935058
Gordy,Drama Family Fantasy,0.398924
Gumby: The Movie,Fantasy Animation Science Fiction Family,0.090452
The Glass Shield,Drama Action Thriller Crime,1.012197
Hoop Dreams,Documentary,9.47666
Heavenly Creatures,Drama Fantasy,9.438042
Houseguest,Comedy Family,2.688562
Immortal Beloved,Drama Music Romance,7.983666
Heavyweights,Comedy Family Drama,9.546707
The Hunted,Action Thriller,2.756986
I.Q.,Comedy Drama Romance,5.146352
Interview with the Vampire,Horror Romance,11.970205
Jefferson in Paris,Drama Romance,1.596058
The Jerky Boys,Comedy Crime,0.748846
Junior,Comedy Family Romance,6.710215
Just Cause,Action Drama Mystery Thriller,9.195256
A Kid in King Arthur's Court,Adventure Fantasy Comedy Science Fiction Family,5.874511
Kiss of Death,Action Crime Drama Thriller,7.797512
Star Wars,Adventure Action Science Fiction,42.149697
Little Women,Drama Romance,9.774994
A Little Princess,Drama Family Fantasy,7.731725
Ladybird Ladybird,Drama,0.84508
L'Enfer,Crime Drama,1.948315
Like Water for Chocolate,Drama Romance,4.126083
Legends of the Fall,Adventure Drama Romance War,12.199047
Major Payne,Adventure Comedy Family,9.253362
Little Odessa,Action Drama,1.861292
Mi Vida Loca,Crime Drama,1.788829
Love Affair,Drama Romance,3.290192
Losing Isaiah,Drama,7.698526
The Madness of King George,Comedy Drama History,4.81307
Mary Shelley's Frankenstein,Drama Horror Science Fiction Romance,14.287753
Man of the House,Action Comedy Family,2.558118
Mixed Nuts,Comedy Drama Romance,2.899608
Milk Money,Comedy Romance,3.770115
Miracle on 34th Street,Fantasy Drama Family,5.831622
Miami Rhapsody,Comedy Romance,1.137266
My Family,Comedy Drama,3.121288
Murder in the First,Crime Drama,9.518564
Nobody's Fool,Drama Comedy,2.891269
Nell,Drama Thriller,5.930957
New Jersey Drive,Crime Drama,0.629955
New York Cop,Action Thriller Crime Drama,0.004537
Beyond Bedlam,Horror,0.426952
Nemesis 2 - Nebula,Science Fiction Action Thriller,1.466491
Nina Takes a Lover,Drama Romance,0.769522
Natural Born Killers,Crime Thriller Drama,11.226856
Only You,Comedy Drama Romance,4.936761
Once Were Warriors,Drama,4.025276
Poison Ivy II: Lily,Drama Romance Thriller,6.448039
Outbreak,Action Drama Science Fiction Thriller,13.676444
Leon: The Professional,Thriller Crime Drama,20.477329
The Perez Family,Comedy Drama Romance,1.433544
A Pyromaniac's Love Story,Comedy Drama Romance,0.463307
Pulp Fiction,Thriller Crime,140.950236
Panther,Drama,7.160149
Pushing Hands,Comedy Drama,1.638622
Priest,Drama Romance,1.881932
Quiz Show,History Drama,7.772505
Picture Bride,Drama History,1.296912
Queen Margot,Drama History,4.405405
The Quick and the Dead,Action Western,7.54701
Roommates,Drama Comedy,3.395867
Prêt-à-Porter,Drama Comedy,6.259433
Three Colors: Red,Drama Mystery Romance,7.832755
Three Colors: Blue,Drama Music Mystery,8.843517
Three Colors: White,Comedy Drama Mystery,6.5898
"Red Firecracker, Green Firecracker",Drama,0.078257
Rent-a-Kid,Comedy Family TV Movie,1.155255
Relative Fear,Horror Drama,0.499601
Stuart Saves His Family,Comedy Drama,1.390885
The Swan Princess,Animation,8.910462
The Secret of Roan Inish,Drama Family Fantasy,1.750481
The Specialist,Action Thriller,10.388183
Stargate,Action Adventure Science Fiction,13.328924
The Santa Clause,Fantasy Drama Comedy Family,9.665424
The Shawshank Redemption,Drama Crime,51.645403
Shallow Grave,Crime Thriller,8.223026
Suture,Drama Thriller,1.298224
Strawberry and Chocolate,Comedy Drama,1.777197
Swimming with Sharks,Crime Comedy,5.869261
The Sum of Us,Comedy Drama Romance,1.407427
Senior Trip,Comedy,5.05806
To Live,Drama Romance War,5.260627
Tank Girl,Action Comedy Fantasy Science Fiction,7.602087
Tales from the Crypt: Demon Knight,Horror Comedy Thriller,9.455342
Star Trek: Generations,Science Fiction Action Adventure Thriller,8.105708
Tales from the Hood,Crime Horror Thriller,2.86007
Tom & Viv,Drama Romance,0.704204
Village of the Damned,Thriller Horror Science Fiction,6.529879
Tommy Boy,Comedy,11.971318
Vanya on 42nd Street,Drama Romance,7.039846
The Underneath,Thriller Crime,2.059771
The Walking Dead,Drama War,0.620873
What's Eating Gilbert Grape,Romance Drama,10.3919
Virtuosity,Action Crime Science Fiction Thriller,5.188399
While You Were Sleeping,Comedy Drama Romance,15.783615
The War,Drama,3.908596
Double Happiness,Comedy Romance,0.372239
Muriel's Wedding,Drama Comedy Romance,5.254847
The Baby-Sitters Club,Comedy Drama Family,2.15805
Ace Ventura: Pet Detective,Comedy Mystery,11.247957
"The Adventures of Priscilla, Queen of the Desert",Drama Comedy,8.328596
Backbeat,Drama Music,2.487951
Bitter Moon,Thriller Drama Romance,11.298195
Bullets Over Broadway,Action Comedy Thriller,5.72288
Clear and Present Danger,Action Drama Thriller,7.513245
The Client,Drama Thriller Crime Mystery,15.263829
"Corrina, Corrina",Comedy Drama Family Romance,6.924689
Crooklyn,Comedy Drama,2.533022
The Crow,Fantasy Action Thriller,15.799336
Cobb,Drama,2.583363
The Flintstones,Fantasy Comedy Family,15.019586
Forrest Gump,Comedy Drama Romance,48.307194
Four Weddings and a Funeral,Comedy Drama Romance,8.990345
Higher Learning,Romance Drama Crime,7.817811
I Like It Like That,Comedy Drama Romance,0.289295
I Love Trouble,Action Comedy Romance,3.570874
It Could Happen to You,Comedy Drama Romance,11.272073
The Jungle Book,Adventure Drama Family,10.714235
"The Wonderful, Horrible Life of Leni Riefenstahl",Documentary Foreign,0.568884
The Lion King,Family Animation Drama,21.605761
Little Buddha,Drama History,5.681522
New Nightmare,Horror Thriller Mystery Fantasy,9.860522
The Mask,Romance Comedy Crime Fantasy,14.13488
Maverick,Action Adventure Comedy Drama Western,15.050326
Mrs. Parker and the Vicious Circle,Drama,4.739054
The Naked Gun 33⅓: The Final Insult,Comedy Crime,10.587232
The Paper,Comedy Drama,4.006063
Reality Bites,Drama,6.514592
Red Rock West,Crime Drama Thriller,5.137903
Ri¢hie Ri¢h,Comedy Family,6.595255
Safe Passage,Drama,4.931565
The River Wild,Action Adventure Crime Thriller,10.511241
Speed,Action Adventure Crime,10.859292
Speechless,Comedy Romance,2.334226
Timecop,Thriller Science Fiction Action Crime,8.907074
True Lies,Action Thriller,11.396099
When a Man Loves a Woman,Drama Romance,4.322544
Wolf,Fantasy,14.063845
Wyatt Earp,Drama Action Western,9.277147
Bad Company,Action Crime Romance Thriller,0.912415
A Man of No Importance,Comedy Drama,0.406113
S.F.W.,Comedy Drama,2.504529
A Low Down Dirty Shame,Action Comedy Crime,3.021526
"Boys Life: Three Stories of Love, Lust, and Liberation",Drama,0.054148
Colonel Chabert,Drama,0.934312
"Faster, Pussycat! Kill! Kill!",Action Crime,4.220541
Jason's Lyric,Crime Drama Romance,0.912909
The Secret Adventures of Tom Thumb,Animation Science Fiction,0.381704
Street Fighter,Action Adventure Thriller,13.58449
Coldblooded,Action Comedy,2.342756
Desert Winds,,0.251223
Fall Time,Action Adventure Crime Drama Thriller,1.108494
The Fear,Horror Thriller,0.268043
Frank and Ollie,Documentary,0.142357
Girl in the Cadillac,Romance Adventure Crime Drama,0.405392
Homage,Thriller Drama,0.014925
Mirage,Action Thriller,0.302957
Open Season,Comedy,0.012456
Dos Crímenes,,0.233376
Brother Minister: The Assassination of Malcolm X,Documentary,0.0368
Highlander: The Final Dimension,Action Fantasy Science Fiction,6.866634
Federal Hill,,0.100685
In the Mouth of Madness,Horror Mystery Thriller,8.497643
8 Seconds,Drama Romance,1.888534
Above the Rim,Crime Drama,4.38154
Addams Family Values,Comedy Family Fantasy,17.555909
Martin Lawrence: You So Crazy,Comedy,0.394194
The Age of Innocence,Drama Romance,8.013617
Airheads,Comedy Crime Music,7.09232
The Air Up There,Comedy Family,1.896273
Another Stakeout,Action Comedy,12.967239
Bad Girls,Action Adventure Comedy Drama Western,14.644772
Barcelona,Comedy Drama Romance,1.632711
Being Human,Drama Comedy Fantasy,2.783872
The Beverly Hillbillies,Comedy,5.673735
Beverly Hills Cop III,Action Comedy Crime,11.787784
Black Beauty,Action Adventure Drama Family,8.398845
Blink,Mystery Crime Drama Thriller,3.00282
Blown Away,Drama Action Thriller,13.155071
Blue Chips,Drama,6.131056
Blue Sky,Drama Romance,4.993829
Body Snatchers,Horror Science Fiction Thriller,6.559693
Boxing Helena,Drama Romance,4.304224
A Bronx Tale,Drama Crime,6.115628
Cabin Boy,Comedy,1.679042
Calendar Girl,Drama Comedy,1.316741
Carlito's Way,Action Crime Drama Thriller,8.698509
City Slickers II: The Legend of Curly's Gold,Action Comedy Drama Western,8.605703
Clean Slate,Comedy Thriller Mystery,2.724621
Cliffhanger,Action Adventure Thriller,9.830853
Coneheads,Comedy Science Fiction Family,10.722729
Color of Night,Drama Mystery Romance Thriller,14.228963
Cops & Robbersons,Action Comedy Family,7.042878
The Cowboy Way,Western Action Comedy,4.286279
Dangerous Game,Drama,2.70097
Dave,Comedy,13.696394
Dazed and Confused,Comedy Drama,6.8652
Demolition Man,Crime Action Science Fiction,11.626116
The Endless Summer 2,Documentary,0.408159
Even Cowgirls Get the Blues,Western Drama Comedy Romance,2.970724
Fatal Instinct,Comedy,3.555139
Farewell My Concubine,Drama,4.875827
The Favor,Drama Comedy Romance,1.344876
Fearless,Drama,9.284624
Fear of a Black Hat,Comedy,0.985441
With Honors,Comedy Drama,2.969003
Flesh and Bone,Drama Mystery Romance,1.896869
Widows' Peak,Comedy Thriller Mystery Romance Foreign,0.409427
For Love or Money,Comedy Romance,8.468869
The Firm,Drama Mystery Thriller,9.678367
Free Willy,Family Adventure,5.990572
Fresh,Crime Drama Thriller,3.970215
The Fugitive,Adventure Action Thriller Crime Mystery,10.08937
Geronimo: An American Legend,History Action Drama Western,4.653462
The Getaway,Drama Action Thriller,14.214403
Getting Even with Dad,Family Comedy Crime,2.410545
Go Fish,Drama Romance,0.775898
A Good Man in Africa,Comedy Drama,5.22583
Guilty as Sin,Drama Thriller,5.385108
Hard Target,Action Adventure Crime Thriller,7.834351
Heaven & Earth,History War Action Drama,4.190541
Hot Shots! Part Deux,Action Comedy War,13.482371
Live Nude Girls,Comedy,2.138959
The Englishman Who Went Up a Hill But Came Down a Mountain,Drama Comedy Romance,5.331753
The House of the Spirits,Romance Drama,10.687795
House Party 3,Comedy,0.996047
The Hudsucker Proxy,Comedy Drama,7.550545
I'll Do Anything,Comedy Drama,1.742974
In the Army Now,Comedy,6.071466
In the Line of Fire,Action Drama Thriller Crime Mystery,12.637158
In the Name of the Father,Drama,7.405895
The Inkwell,Comedy Drama Romance,0.613335
What's Love Got to Do with It,Drama Music,14.820883
Jimmy Hollywood,Comedy,4.563989
Judgment Night,Action Thriller Crime,5.538671
Jurassic Park,Adventure Science Fiction,8.863776
Kalifornia,Thriller Crime,8.4337
Killing Zoe,Action Crime Drama Thriller,4.948569
King of the Hill,Drama,4.375347
Lassie,Action Adventure Drama Family,3.645342
Last Action Hero,Adventure Fantasy Action Comedy Family,9.434006
Life With Mikey,Comedy Family,6.446229
Lightning Jack,Action Comedy Western,2.913584
M. Butterfly,Drama Romance,6.516976
Made in America,Comedy,5.43085
Malice,Drama Crime,9.861672
The Man without a Face,Drama,5.997712
Manhattan Murder Mystery,Comedy Mystery,8.939404
Menace II Society,Drama Action Crime,5.260924
Executive Decision,Action Adventure Drama Thriller,13.106291
In the Realm of the Senses,Drama Romance,8.932494
What Happened Was...,Thriller Comedy Drama Romance,0.534606
Much Ado About Nothing,Drama Comedy Romance,8.62724
Mr. Jones,Drama Romance,6.579753
Mr. Wonderful,Comedy Romance,13.011091
Mrs. Doubtfire,Comedy Drama Family,11.16553
Naked,Comedy Drama,8.665198
The Next Karate Kid,Adventure,9.9697
The New Age,Comedy Drama,0.596207
No Escape,Action Drama Science Fiction Thriller,9.715187
North,Comedy Drama Family Fantasy Science Fiction,15.534707
Orlando,Romance Drama Fantasy,3.800785
A Perfect World,Crime Drama Thriller,8.040589
Philadelphia,Drama,13.373006
The Piano,Drama Romance,7.436758
Poetic Justice,Drama Romance,6.972599
The Program,Drama,3.199976
The Puppet Masters,Horror Science Fiction Thriller,7.272296
Radioland Murders,Comedy Crime Drama Music Mystery Romance,8.506727
The Ref,Comedy,5.868677
The Remains of the Day,Drama Romance,12.222576
Renaissance Man,Comedy War,4.985157
Rising Sun,Action Drama Thriller,6.279082
The Road to Wellville,Comedy Romance,3.416181
RoboCop 3,Action Adventure Crime Science Fiction Thriller,8.685798
Robin Hood: Men in Tights,Comedy,17.136672
Romeo Is Bleeding,Action Crime Drama Thriller,9.796318
Romper Stomper,Action Drama Thriller,5.157926
Ruby in Paradise,Drama Romance,0.941994
Rudy,Drama,5.914833
The Saint of Fort Washington,Drama,1.065843
Savage Nights,Drama,1.031556
Schindler's List,Drama History War,41.725123
The Scout,Comedy Drama,5.715608
Searching for Bobby Fischer,Drama,12.048587
Second Best,Drama,0.882596
The Secret Garden,Drama Family Fantasy,6.499523
Serial Mom,Comedy Crime Horror Thriller,5.305311
The Shadow,Adventure Fantasy Action Thriller Science Fiction,7.881107
Shadowlands,Drama Romance,2.96586
Short Cuts,Comedy Drama,8.829337
A Simple Twist of Fate,Drama Family,4.13516
Sirens,Comedy Drama,2.86213
Six Degrees of Separation,Mystery Drama Comedy,8.730025
Sleepless in Seattle,Comedy Drama Romance,10.234919
Sliver,Drama Thriller,11.23297
Blade Runner,Science Fiction Drama Thriller,96.272374
Son in Law,Comedy Drama Romance,9.122718
So I Married an Axe Murderer,Comedy Crime Romance,8.051914
Striking Distance,Crime Action Mystery Thriller,13.390917
Harem,History Drama Romance,1.825468
Super Mario Bros.,Adventure Comedy Family Fantasy,7.198455
Surviving the Game,Action Adventure Thriller Crime,3.644641
Terminal Velocity,Action Thriller,8.012225
Thirty Two Short Films About Glenn Gould,Drama Music,0.873068
Threesome,Comedy Drama Family Romance,10.82236
The Nightmare Before Christmas,Fantasy Animation Family,17.730913
The Three Musketeers,Action Adventure Comedy,6.34785
Tombstone,Action Adventure Drama History Western,11.338194
Trial by Jury,Drama Action Thriller,0.85586
True Romance,Action Thriller Crime Romance,17.189328
The War Room,Documentary History,1.273617
The Pagemaster,Fantasy Science Fiction Family Animation,7.436001
"Paris, France",Drama Comedy,0.741522
"The Beans of Egypt, Maine",,0.38247
Killer,Thriller Drama Romance,0.422224
Welcome to the Dollhouse,Comedy Drama,5.14056
Germinal,Drama Romance,2.759302
Chasers,Comedy Romance,9.85327
Cronos,Drama Horror Thriller,5.513024
Naked in New York,Comedy Romance,0.449733
Kika,Comedy Drama,3.647321
Bhaji on the Beach,Comedy Drama,0.441585
Little Big League,Comedy Family,1.960563
The Slingshot,Drama,1.764582
Wide Eyed and Legless,TV Movie Drama Romance Comedy,0.00015
Foreign Student,Drama Romance,0.002789
"Ciao, Professore!",Comedy Foreign,3.456868
Spanking the Monkey,Comedy Drama,2.799575
The Little Rascals,Romance Comedy Family,6.707109
À la mode,Comedy,8.2e-05
Andre,Drama Family Adventure,3.139316
The Escort,Thriller Crime Drama,0.046196
Princess Caraboo,Comedy Drama History Mystery,1.943323
The Celluloid Closet,History Documentary,6.784687
Café au Lait,Drama Comedy Romance Foreign,1.040873
Dear Diary,Comedy Drama,2.904734
I Don't Want to Talk About It,Romance Drama,1.213481
The Brady Bunch Movie,Comedy,4.233092
Home Alone,Comedy Family,0.702543
Ghost,Fantasy Drama Thriller Mystery Romance,11.945397
Aladdin,Animation Family Comedy Adventure Fantasy Romance,16.357419
Terminator 2: Judgment Day,Action Thriller Science Fiction,22.661695
Dances with Wolves,Adventure Drama Western,11.654349
Tough and Deadly,Thriller Action Drama,0.426887
Batman,Fantasy Action,19.10673
The Silence of the Lambs,Crime Drama Thriller,4.307222
Snow White and the Seven Dwarfs,Fantasy Animation Family,16.263878
Beauty and the Beast,Romance Family Animation Fantasy Music,23.433511
Pinocchio,Animation Family,14.202284
Pretty Woman,Romance Comedy,13.348451
Window to Paris,Comedy Drama Fantasy,0.345748
The Wild Bunch,Adventure Western,11.722424
Love and a .45,Crime Thriller,3.40523
The Wooden Man's Bride,Drama Foreign Romance,0.088451
A Great Day in Harlem,,0.076352
Bye Bye Love,Comedy Romance,2.47308
One Fine Day,Comedy Romance,7.009946
Candyman: Farewell to the Flesh,Horror,4.983552
Century,Romance Drama,1.461029
Fargo,Crime Drama Thriller,12.61469
Homeward Bound II: Lost in San Francisco,Adventure Comedy Drama Family,14.657754
Heavy Metal,Animation Science Fiction,7.640073
Hellraiser: Bloodline,Horror Thriller Science Fiction,5.263187
The Pallbearer,Comedy Romance,8.174116
Jane Eyre,Drama Romance,2.420301
Loaded,Drama Mystery Thriller,0.618066
Bread and Chocolate,Comedy Foreign,1.306628
The Aristocats,Animation Comedy Family Adventure,9.834047
The Flower of My Secret,Drama Romance,2.286788
Two Much,Comedy Romance,1.620174
Ed,Comedy Family,5.174212
Scream of Stone,Adventure Drama Documentary,0.736081
My Favorite Season,Drama,0.516924
A Modern Affair,,0.173207
Condition Red,Thriller Action Drama,0.793932
Halfaouine: Boy of the Terraces,Comedy Drama,1.983301
A Thin Line Between Love and Hate,Comedy Thriller Crime Romance,2.256747
The Last Supper,Comedy Thriller Crime Drama,4.619915
